N°,DNI,APELLIDOS,NOMBRES,CARGO,FECHA DE INICIO,REGIMEN LABORAL,ÓRGANO,UNIDAD ORGANICA,ESTADO,SERVIDORES CIVILES QUE TIENEN LICENCIA,CORREO ELECTRONICO INSTITUCIONAL,APELLIDOS Y NOMBRES
1,85822413,CANTÓN AMAYA,MANUELA LEONARDO,Analista G1,2018-10-17,CAS,Dirección General de Otras,Oficina de Mitad,ACTIVO,NO,,CANTÓN AMAYA MANUELA LEONARDO
2,99529224,CALATAYUD BONET,DOMINGA TELMO,Coordinador Adjunto,2016-08-30,CAS,Dirección General de Sido,Oficina de Posible,ACTIVO,NO,,CALATAYUD BONET DOMINGA TELMO
3,29958839,GUERRERO VAZQUEZ,ELIGIA AMANDO,Especialista Técnico,2021-12-16,D.L. 276,Dirección General de Corazón,Oficina de Iglesia,ACTIVO,NO,,GUERRERO VAZQUEZ ELIGIA AMANDO
4,13756670,RIVAS GIMÉNEZ,VIDAL DOLORES,Analista G1,2019-02-16,D.L. 276,Dirección General de Socialista,Oficina de A,ACTIVO,NO,,RIVAS GIMÉNEZ VIDAL DOLORES
5,56629389,CUERVO ROCAMORA,NOÉ LEOPOLDO,Analista G1,2017-11-24,CAS,Dirección General de Máximo,Oficina de Mayo,ACTIVO,NO,,CUERVO ROCAMORA NOÉ LEOPOLDO
6,12575563,NAVARRO CALATAYUD,CIRINO RICARDO,Especialista Técnico,2017-04-24,CAS,Dirección General de Dolor,Oficina de M,ACTIVO,NO,,NAVARRO CALATAYUD CIRINO RICARDO
7,67827639,LAMAS AROCA,LUNA ÁNGEL,Analista G1,2021-09-15,D.L. 276,Dirección General de Somos,Oficina de Deseo,ACTIVO,NO,,LAMAS AROCA LUNA ÁNGEL
8,26687538,PINEDO BERMÚDEZ,CARMINA LÁZARO,Asistente Administrativo,2024-08-21,CAS,Dirección General de Económico,Oficina de Primeras,ACTIVO,NO,,PINEDO BERMÚDEZ CARMINA LÁZARO
9,60291818,PARDO FERNANDEZ,JULIE BUENAVENTURA,Coordinador Adjunto,2016-10-20,CAS,Dirección General de Mí,Oficina de Volver,ACTIVO,NO,,PARDO FERNANDEZ JULIE BUENAVENTURA
10,21429111,MANCEBO BERNAL,RITA JOAN,Asistente Administrativo,2025-01-04,D.L. 728,Dirección General de Ex,Oficina de Verdad,ACTIVO,NO,,MANCEBO BERNAL RITA JOAN
