Name,Description,Disabled,Email Address,First Name,Last Name,Username (pre 2000)
FRÍAS REGUERA ANGÉLICA MATILDE,44619336,FALSE,afrías@dummie.com,ANGÉLICA MATILDE,FRÍAS REGUERA,DUMMIE\AFRÍAS
MATA BOLAÑOS LOPE MARÍA DEL CARMEN,18533118,FALSE,lmata@dummie.com,LOPE MARÍA DEL CARMEN,MATA BOLAÑOS,DUMMIE\LMATA
TORRALBA GARGALLO CALISTA ELIGIO,76125618,FALSE,ctorralba@dummie.com,CALISTA ELIGIO,TORRALBA GARGALLO,DUMMIE\CTORRALB
VALENTÍN PERA ABIGAÍL JOSEFINA,25254850,FALSE,avalentín@dummie.com,ABIGAÍL JOSEFINA,VALENTÍN PERA,DUMMIE\AVALENTÍ
ALMAZÁN AYUSO MIRIAM NAZARIO,45076694,FALSE,malmazán@dummie.com,MIRIAM NAZARIO,ALMAZÁN AYUSO,DUMMIE\MALMAZÁN
MORALES BARRANCO ALFREDO EUSEBIO,0046920515,FALSE,amorales@dummie.com,ALFREDO EUSEBIO,MORALES BARRANCO,DUMMIE\AMORALES
VILAR LUCAS HÉCTOR EUTIMIO,56087573,FALSE,hvilar@dummie.com,HÉCTOR EUTIMIO,VILAR LUCAS,DUMMIE\HVILAR
  MARIÑO TENORIO   HERACLIO    CLETO,76593188,FALSE,hmariño@dummie.com,HERACLIO    CLETO,  MARIÑO TENORIO  ,DUMMIE\HMARIÑO
MORERA ANDREU FABIANA LEANDRO,0019804,FALSE,fmorera@dummie.com,FABIANA LEANDRO,MORERA ANDREU,DUMMIE\FMORERA
GÓMEZ CASES AINARA HAYDÉE,MOISÉS,FALSE,agómez@dummie.com,AINARA HAYDÉE,GÓMEZ CASES,DUMMIE\AGÓMEZ
CAMPO CASAS AMARILIS JOAN,55556768,FALSE,acampo@dummie.com,AMARILIS JOAN,CAMPO CASAS,DUMMIE\ACAMPO
ESTÉVEZ DURÁN MACARIA AROA,0081370,FALSE,mestévez@dummie.com,MACARIA AROA,ESTÉVEZ DURÁN,DUMMIE\MESTÉVEZ
LUQUE NEBOT CARLA CRESCENCIA,07352711,FALSE,cluque@dummie.com,CARLA CRESCENCIA,LUQUE NEBOT,DUMMIE\CLUQUE
CÓRDOBA SACRISTÁN PASCUAL LORENZA,43589648,FALSE,pcórdoba@dummie.com,PASCUAL LORENZA,CÓRDOBA SACRISTÁN,DUMMIE\PCÓRDOBA
HERAS URÍA ROLANDO DANIEL,22566391,FALSE,rheras@dummie.com,ROLANDO DANIEL,HERAS URÍA,DUMMIE\RHERAS
RIOS MARQUEZ EZEQUIEL GUSTAVO,62312934,FALSE,erios@dummie.com,EZEQUIEL GUSTAVO,RIOS MARQUEZ,DUMMIE\ERIOS
ZARAGOZA JAÉN AUGUSTO QUIQUE,18453801,FALSE,azaragoza@dummie.com,AUGUSTO QUIQUE,ZARAGOZA JAÉN,DUMMIE\AZARAGOZ
LLANOS MAESTRE DOMINGO CONSUELA,MOISÉS,FALSE,dllanos@dummie.com,DOMINGO CONSUELA,LLANOS MAESTRE,DUMMIE\DLLANOS
COLL CERVANTES ANTONIO LUCIANO,0001898962,FALSE,acoll@dummie.com,ANTONIO LUCIANO,COLL CERVANTES,DUMMIE\ACOLL
MONTES OCAÑA DOROTEA GABRIELA,52231716,FALSE,dmontes@dummie.com,DOROTEA GABRIELA,MONTES OCAÑA,DUMMIE\DMONTES
MÁRQUEZ PI XAVIER MODESTO,MOISÉS,FALSE,xmárquez@dummie.com,XAVIER MODESTO,MÁRQUEZ PI,DUMMIE\XMÁRQUEZ
FLOR DÍAZ MERCEDES LUCAS,79717835,FALSE,mflor@dummie.com,MERCEDES LUCAS,FLOR DÍAZ,DUMMIE\MFLOR
MANCEBO BERNAL RITA JOAN,0021429,FALSE,rmancebo@dummie.com,RITA JOAN,MANCEBO BERNAL,DUMMIE\RMANCEBO
MOLL ZARAGOZA ISIDRO GERÓNIMO,007555441,FALSE,imoll@dummie.com,ISIDRO GERÓNIMO,MOLL ZARAGOZA,DUMMIE\IMOLL
VILLANUEVA MOLES MIREIA AMANDA,61824079,FALSE,mvillanueva@dummie.com,MIREIA AMANDA,VILLANUEVA MOLES,DUMMIE\MVILLANU
MORATA    PLAZA ALBANO LUPE   ,MOISÉS,FALSE,amorata@dummie.com,ALBANO LUPE   ,MORATA    PLAZA,DUMMIE\AMORATA
PEREIRA ESPEJO REYES ROLDÁN,MOISÉS,FALSE,rpereira@dummie.com,REYES ROLDÁN,PEREIRA ESPEJO,DUMMIE\RPEREIRA
